variable,level,n,percentage,display
FOXA2 inferred state,FOXA2+,55,80.88235294117646,55 (80.9%)
FOXA2 inferred state,FOXA2-,13,19.11764705882353,13 (19.1%)
Sex,female,24,35.294117647058826,24 (35.3%)
Sex,male,44,64.70588235294117,44 (64.7%)
Tumour grade,G1,8,11.764705882352942,8 (11.8%)
Tumour grade,G2,34,50.0,34 (50.0%)
Tumour grade,G3,24,35.294117647058826,24 (35.3%)
Tumour grade,Missing,2,2.9411764705882355,2 (2.9%)
Pathological stage,Missing,2,2.9411764705882355,2 (2.9%)
Pathological stage,Stage I,33,48.52941176470589,33 (48.5%)
Pathological stage,Stage II,16,23.529411764705884,16 (23.5%)
Pathological stage,Stage III,1,1.4705882352941178,1 (1.5%)
Pathological stage,Stage IIIA,10,14.705882352941176,10 (14.7%)
Pathological stage,Stage IIIB,2,2.9411764705882355,2 (2.9%)
Pathological stage,Stage IIIC,2,2.9411764705882355,2 (2.9%)
Pathological stage,Stage IV,2,2.9411764705882355,2 (2.9%)
Vascular invasion,Missing,4,5.882352941176471,4 (5.9%)
Vascular invasion,No,45,66.17647058823529,45 (66.2%)
Vascular invasion,Yes,19,27.94117647058824,19 (27.9%)
HBV status,no,25,36.76470588235294,25 (36.8%)
HBV status,yes,43,63.23529411764706,43 (63.2%)
HCV status,no,49,72.05882352941177,49 (72.1%)
HCV status,yes,19,27.94117647058824,19 (27.9%)
Alcohol status,no,41,60.294117647058826,41 (60.3%)
Alcohol status,yes,27,39.70588235294117,27 (39.7%)
NAFLD status,no,63,92.6470588235294,63 (92.6%)
NAFLD status,yes,5,7.352941176470588,5 (7.4%)
Fibrosis present,no,28,41.1764705882353,28 (41.2%)
Fibrosis present,yes,40,58.8235294117647,40 (58.8%)
Obesity class,Normal,22,32.35294117647059,22 (32.4%)
Obesity class,Obesity Class I,13,19.11764705882353,13 (19.1%)
Obesity class,Obesity Class II,4,5.882352941176471,4 (5.9%)
Obesity class,Obesity Class III,9,13.235294117647058,9 (13.2%)
Obesity class,Overweight,17,25.0,17 (25.0%)
Obesity class,Underweight,3,4.411764705882353,3 (4.4%)
Vital status,DECEASED,23,33.8235294117647,23 (33.8%)
Vital status,LIVING,45,66.17647058823529,45 (66.2%)
Age at diagnosis,median (IQR),63 (53-71),,63 (53-71)
SNV count,median (IQR),10898 (7291-14266),,10898 (7291-14266)
