Characteristic,Summary
FOXA2 inferred state,FOXA2+: 55 (80.9%); FOXA2-: 13 (19.1%)
Sex,female: 24 (35.3%); male: 44 (64.7%)
Tumour grade,G1: 8 (11.8%); G2: 34 (50.0%); G3: 24 (35.3%); Missing: 2 (2.9%)
Pathological stage,Missing: 2 (2.9%); Stage I: 33 (48.5%); Stage II: 16 (23.5%); Stage III: 1 (1.5%); Stage IIIA: 10 (14.7%); Stage IIIB: 2 (2.9%); Stage IIIC: 2 (2.9%); Stage IV: 2 (2.9%)
Vascular invasion,Missing: 4 (5.9%); No: 45 (66.2%); Yes: 19 (27.9%)
HBV status,no: 25 (36.8%); yes: 43 (63.2%)
HCV status,no: 49 (72.1%); yes: 19 (27.9%)
Alcohol status,no: 41 (60.3%); yes: 27 (39.7%)
NAFLD status,no: 63 (92.6%); yes: 5 (7.4%)
Fibrosis present,no: 28 (41.2%); yes: 40 (58.8%)
Obesity class,Normal: 22 (32.4%); Obesity Class I: 13 (19.1%); Obesity Class II: 4 (5.9%); Obesity Class III: 9 (13.2%); Overweight: 17 (25.0%); Underweight: 3 (4.4%)
Vital status,DECEASED: 23 (33.8%); LIVING: 45 (66.2%)
Age at diagnosis,median (IQR): 63 (53-71)
SNV count,median (IQR): 10898 (7291-14266)
