symbol,gene_base,gene,group_display,n_samples,median_expression,mean_expression,logFC,padj,is_significant,is_default_panel_gene
MYO10,ENSG00000145555,ENSG00000145555.15,FOXA2+,215,7.994353436858858,8.212017886219439,0.144260005921015,0.0110549182152587,True,True
MYO10,ENSG00000145555,ENSG00000145555.15,FOXA2-,57,8.59245703726808,9.307744166651721,0.144260005921015,0.0110549182152587,True,True
TWIST2,ENSG00000233608,ENSG00000233608.4,FOXA2+,215,2.584962500721156,2.7620417851366175,0.626145414209017,0.0458422304464175,True,True
TWIST2,ENSG00000233608,ENSG00000233608.4,FOXA2-,57,3.700439718141092,4.130923274265467,0.626145414209017,0.0458422304464175,True,True
AURKA,ENSG00000087586,ENSG00000087586.18,FOXA2+,215,9.509775004326936,9.476072977766773,-0.0401467861373957,0.422690482200939,False,True
AURKA,ENSG00000087586,ENSG00000087586.18,FOXA2-,57,9.4757334309664,9.449607592310281,-0.0401467861373957,0.422690482200939,False,True
FOXA2,ENSG00000125798,ENSG00000125798.15,FOXA2+,215,11.1006623390052,10.967630103924447,-0.0835476673849218,0.435234247234012,False,True
FOXA2,ENSG00000125798,ENSG00000125798.15,FOXA2-,57,11.028596777067108,10.774099743869693,-0.0835476673849218,0.435234247234012,False,True
PLK1,ENSG00000166851,ENSG00000166851.15,FOXA2+,215,8.20945336562895,8.073728015677561,-0.0016913840559718,0.98958559913829,False,True
PLK1,ENSG00000166851,ENSG00000166851.15,FOXA2-,57,8.826548487290914,8.36834045681799,-0.0016913840559718,0.98958559913829,False,True
FZD10,ENSG00000111432,ENSG00000111432.4,FOXA2+,215,2.321928094887362,2.301469319598713,0.663443026895886,0.0043949021322801,True,False
FZD10,ENSG00000111432,ENSG00000111432.4,FOXA2-,57,3.169925001442312,3.5010423123000605,0.663443026895886,0.0043949021322801,True,False
MYEOV,ENSG00000172927,ENSG00000172927.8,FOXA2+,215,3.0,3.545818938156689,0.549390996744156,0.0110549182152587,True,False
MYEOV,ENSG00000172927,ENSG00000172927.8,FOXA2-,57,4.392317422778761,4.711452471903098,0.549390996744156,0.0110549182152587,True,False
SKIC2,ENSG00000204351,ENSG00000204351.12,FOXA2+,215,11.553149275598548,11.554704851423201,-0.0495742961636028,0.0351254520208457,True,False
SKIC2,ENSG00000204351,ENSG00000204351.12,FOXA2-,57,11.2940463132715,11.330891486282834,-0.0495742961636028,0.0351254520208457,True,False
ENSG00000267278,ENSG00000267278,ENSG00000267278.6,FOXA2+,215,4.906890595608519,4.948798064761793,0.18095622733288,0.0458422304464175,True,False
ENSG00000267278,ENSG00000267278,ENSG00000267278.6,FOXA2-,57,5.643856189774724,5.652722622076268,0.18095622733288,0.0458422304464175,True,False
LRRC4C,ENSG00000148948,ENSG00000148948.8,FOXA2+,215,2.584962500721156,2.7382806944148936,0.563735650302707,0.0458422304464175,True,False
LRRC4C,ENSG00000148948,ENSG00000148948.8,FOXA2-,57,3.906890595608519,3.9341826670233013,0.563735650302707,0.0458422304464175,True,False
NPTXR,ENSG00000221890,ENSG00000221890.6,FOXA2+,215,5.554588851677638,5.839028134386592,0.271128799198227,0.0458422304464175,True,False
NPTXR,ENSG00000221890,ENSG00000221890.6,FOXA2-,57,6.741466986401147,7.153574444667049,0.271128799198227,0.0458422304464175,True,False
RALGPS1,ENSG00000136828,ENSG00000136828.19,FOXA2+,215,7.149747119504682,7.128221172983518,0.141704089711137,0.0458422304464175,True,False
RALGPS1,ENSG00000136828,ENSG00000136828.19,FOXA2-,57,7.78135971352466,8.028758708426393,0.141704089711137,0.0458422304464175,True,False
SHISAL1,ENSG00000138944,ENSG00000138944.8,FOXA2+,215,2.321928094887362,2.4572130470582207,0.562166271239826,0.0458422304464175,True,False
SHISAL1,ENSG00000138944,ENSG00000138944.8,FOXA2-,57,3.4594316186372973,3.686451002173982,0.562166271239826,0.0458422304464175,True,False
SPINT2,ENSG00000167642,ENSG00000167642.13,FOXA2+,215,5.459431618637297,5.965032838382591,0.286840489946909,0.0458422304464175,True,False
SPINT2,ENSG00000167642,ENSG00000167642.13,FOXA2-,57,6.727920454563199,7.382542670868041,0.286840489946909,0.0458422304464175,True,False
